book_id,title,authors,publication_year,language_code,average_rating,ratings_count,work_ratings_count,global_popularity_score,global_popularity_level,to_read_count,tag_count,local_loan_count,local_active_loan_count,local_late_count,demand_score,recommended_stock,quantity,available_quantity,top_tags_json
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2008,eng,4.34,4780653,4942365,34661.49492755111,élevée,973,100,2,2,1,34871.49492755111,2,7,5,"[""favorites"", ""currently-reading"", ""young-adult"", ""fiction"", ""dystopian"", ""to-read"", ""dystopia"", ""fantasy""]"
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",1997,eng,4.44,4602479,4800065,34158.819910218765,élevée,400,100,2,0,0,34398.819910218765,2,2,0,"[""to-read"", ""favorites"", ""fantasy"", ""currently-reading"", ""young-adult"", ""fiction"", ""harry-potter"", ""books-i-own""]"
3,"Twilight (Twilight, #1)",Stephenie Meyer,2005,en-US,3.57,3866839,3916824,33534.65162053685,élevée,287,100,1,0,0,33654.65162053685,2,2,1,"[""young-adult"", ""fantasy"", ""favorites"", ""vampires"", ""ya"", ""fiction"", ""to-read"", ""paranormal""]"
4,To Kill a Mockingbird,Harper Lee,1960,eng,4.25,3198671,3340896,34065.85618273221,élevée,1478,100,4,2,1,34515.85618273221,3,7,3,"[""classics"", ""favorites"", ""to-read"", ""classic"", ""historical-fiction"", ""owned"", ""school"", ""clàssics""]"
5,The Great Gatsby,F. Scott Fitzgerald,1925,eng,3.89,2683664,2773745,33603.54693312746,élevée,1293,100,3,2,0,33963.54693312746,3,4,1,"[""classics"", ""favorites"", ""fiction"", ""classic"", ""books-i-own"", ""owned"", ""literature"", ""school""]"
6,The Fault in Our Stars,John Green,2012,eng,4.26,2346404,2478609,33458.22572041121,élevée,1484,100,2,1,1,33668.22572041121,2,3,1,"[""favorites"", ""to-read"", ""young-adult"", ""fiction"", ""ya"", ""romance"", ""books-i-own"", ""contemporary""]"
7,The Hobbit,J.R.R. Tolkien,1937,en-US,4.25,2071616,2196809,33000.327168329,élevée,973,100,2,2,2,33180.327168329,2,3,1,"[""fantasy"", ""favorites"", ""classics"", ""to-read"", ""fiction"", ""books-i-own"", ""classic"", ""adventure""]"
8,The Catcher in the Rye,J.D. Salinger,1951,eng,3.79,2044241,2120637,33125.70392718839,élevée,1498,100,0,0,0,33125.70392718839,2,3,3,"[""classics"", ""favorites"", ""fiction"", ""to-read"", ""classic"", ""young-adult"", ""books-i-own"", ""owned""]"
9,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,2000,en-CA,3.85,2001311,2078754,32555.11163269033,élevée,513,100,2,1,1,32765.11163269033,2,2,0,"[""to-read"", ""fiction"", ""mystery"", ""favorites"", ""thriller"", ""dan-brown"", ""owned"", ""books-i-own""]"
10,Pride and Prejudice,Jane Austen,1813,eng,4.24,2035490,2191465,33042.07007268291,élevée,1110,100,0,0,0,33042.07007268291,2,7,7,"[""classics"", ""favorites"", ""fiction"", ""romance"", ""classic"", ""books-i-own"", ""owned"", ""favourites""]"
