book_id,goodreads_book_id,best_book_id,work_id,title,authors,original_publication_year,language_code,goodreads_average_rating,goodreads_ratings_count,rating_count,avg_user_rating,to_read_count,tag_count
6361,70489,70489,170846,There's Treasure Everywhere: A Calvin and Hobbes Collection,Bill Watterson,1996.0,eng,4.74,16766,100,4.77,4,100
3275,8,8,21457576,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","J.K. Rowling, Mary GrandPré",2003.0,eng,4.77,33220,100,4.77,5,100
6590,59715,59715,1010526,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,1990.0,eng,4.73,16087,100,4.75,3,100
5580,24494,24494,25344,The Calvin and Hobbes Lazy Sunday Book,Bill Watterson,1989.0,eng,4.66,18641,100,4.75,11,100
4483,24814,24814,25601,It's a Magical World: A Calvin and Hobbes Collection,Bill Watterson,1996.0,eng,4.75,22351,100,4.75,3,100
3628,24812,24812,25599,The Complete Calvin and Hobbes,Bill Watterson,2005.0,eng,4.82,28900,100,4.73,48,100
8978,121792,121792,1429035,The Revenge of the Baby-Sat,Bill Watterson,1991.0,unknown,4.71,11503,100,4.73,3,100
3753,10,10,21457570,"Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,2005.0,eng,4.73,24618,100,4.72,7,100
8109,23753,23753,1789924,"The Absolute Sandman, Volume One","Neil Gaiman, Mike Dringenberg, Chris Bachalo, Michael Zulli, Kelly Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Parkhouse, Daniel Vozzo, Lee Loughridge, Steve Oliff, Todd Klein, Dave McKean, Sam Kieth",2006.0,eng,4.65,13401,100,4.71,35,100
9141,9329354,9329354,27679568,"The Way of Kings, Part 1 (The Stormlight Archive #1.1)",Brandon Sanderson,2011.0,eng,4.67,9792,100,4.69,31,100
2244,17131869,17131869,23857485,"Saga, Vol. 2 (Saga, #2)","Brian K. Vaughan, Fiona Staples",2013.0,eng,4.57,56122,100,4.68,36,100
4868,481749,481749,321161,Jesus the Christ,James E. Talmage,1915.0,unknown,4.63,17179,100,4.67,39,100
4708,9832370,9832370,27881851,BookRags Summary:  A Storm of Swords,BookRags,0.0,eng,4.59,18960,100,4.66,18,100
6642,13490570,13490570,19029792,"Locke & Key, Vol. 5: Clockworks","Joe Hill, Gabriel Rodríguez",2013.0,eng,4.5,16441,100,4.66,29,100
7883,47697,47697,534309,The Sandman: King of Dreams,"Alisa Kwitney, Neil Gaiman",2003.0,eng,4.61,11538,100,4.65,45,100
3395,71252,71252,2647,The Kindly Ones (The Sandman #9),"Neil Gaiman, Marc Hempel, Richard Case, D'Israeli, Teddy Kristiansen, Glyn Dillon, Charles Vess, Dean Ormston, Kevin Nowlan, Todd Klein, Frank McConnell",1996.0,eng,4.59,32544,100,4.65,58,100
3660,25104,25104,2021847,The Wake (The Sandman #10),"Neil Gaiman, Michael Zulli, Jon J. Muth, Charles Vess, Mikal Gilmore",1996.0,eng,4.53,32360,100,4.65,54,100
1904,18310944,18310944,27097530,The Sandman: Overture,"Neil Gaiman, J.H. Williams III, Dave Stewart, Todd Klein",2015.0,en-us,3.94,52973,100,4.65,99,100
5991,334818,334818,929936,Miss Rumphius,Barbara Cooney,1981.0,eng,4.45,20403,100,4.61,11,100
6527,28862528,28862528,48637040,"Saga, Vol. 6 (Saga, #6)","Brian K. Vaughan, Fiona Staples",2016.0,eng,4.49,18433,100,4.6,18,100
1355,13027304,13027304,18190416,The Hunger Games Tribute Guide,Emily Seife,2012.0,en-us,4.4,67264,100,4.6,13,100
1380,15195,15195,1658562,"The Complete Maus (Maus, #1-2)",Art Spiegelman,1986.0,en-gb,4.53,76785,100,4.59,131,100
2101,99298,99298,5994366,"The Harry Potter Collection 1-4 (Harry Potter, #1-4)","J.K. Rowling, Mary GrandPré",1999.0,eng,4.66,43929,100,4.59,12,100
4522,25451555,25451555,45216378,"Saga, Vol. 5 (Saga, #5)","Brian K. Vaughan, Fiona Staples",2015.0,eng,4.44,29429,100,4.59,22,100
