book_id,title,authors,goodreads_average_rating,goodreads_ratings_count,original_publication_year,language_code,borrow_count,avg_user_rating,to_read_count,popularity_level
4708,The Beautiful and Damned,F. Scott Fitzgerald,3.75,26597,1922.0,,100,4.66,18,faible
3885,The Taste of Home Cookbook,"Janet Briggs, Beth Wittlinger",4.25,14469,2006.0,,100,4.55,139,faible
2767,A People's History of the United States,Howard Zinn,4.07,137372,1980.0,eng,100,4.54,38,faible
2865,Girl with a Pearl Earring,Tracy Chevalier,3.85,467577,1999.0,eng,100,4.53,70,faible
976,Deception Point,Dan Brown,3.67,455610,2001.0,eng,100,4.5,8,faible
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.85,867553,2003.0,eng,100,4.48,78,faible
5346,The Last Juror,John Grisham,3.85,63114,2004.0,eng,100,4.47,40,faible
4373,First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,4.29,17459,2000.0,en-US,100,4.45,36,faible
998,The Millionaire Next Door: The Surprising Secrets of Americas Wealthy,"Thomas J. Stanley, William D. Danko",4.0,43937,1995.0,eng,100,4.44,30,faible
2956,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",3.8,953758,1884.0,eng,100,4.44,22,faible
3698,The Quiet American,"Graham Greene, Robert  Stone",3.96,30395,1955.0,eng,100,4.43,5,faible
7081,The Android's Dream,John Scalzi,3.97,11476,2006.0,en-US,100,4.41,24,faible
2743,The Lost Boy (Dave Pelzer #2),Dave Pelzer,4.08,46847,1997.0,eng,100,4.4,76,faible
5113,Franny and Zooey,J.D. Salinger,3.98,152906,1961.0,en-US,100,4.39,30,faible
8909,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",3.8,159752,1897.0,eng,100,4.39,69,faible
870,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)","Hiromu Arakawa, Akira Watanabe",4.49,93990,2002.0,eng,100,4.38,533,faible
2095,The Universe in a Nutshell,Stephen Hawking,4.13,23596,2001.0,en-US,100,4.38,24,faible
1274,"Men Are from Mars, Women Are from Venus",John Gray,3.52,113915,1998.0,en-US,100,4.37,19,faible
4806,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,"Dava Sobel, Neil Armstrong",3.95,38151,1995.0,eng,100,4.34,55,faible
4599,Carter Beats the Devil,Glen David Gold,4.09,10000,2001.0,eng,100,4.32,58,faible
6656,The Divine Comedy,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",4.06,74130,1308.0,eng,100,4.32,1,faible
2978,Lost Horizon,James Hilton,3.9,10907,1933.0,,100,4.31,107,faible
