book_id,goodreads_book_id,best_book_id,work_id,title,authors,original_publication_year,catalog_average_rating,catalog_ratings_count,work_ratings_count,work_text_reviews_count,spark_ratings_count,spark_distinct_users_count,spark_average_rating,spark_to_read_count,spark_to_read_users_count,spark_popularity_score
11,"",386162,3078186,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979.0,4.2,936782,1006479,20345,100,100,4.24,1767,1767,5.542
13,"",13,135328,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,1996.0,4.37,222842,238420,4254,100,100,4.15,1812,1812,5.5328
6,"",6,3046572,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",2000.0,4.53,1753043,1868642,31084,100,100,4.09,1484,1484,5.4509
36,"",36,4414,The Lord of the Rings: Weapons and Warfare,"Chris   Smith, Christopher Lee, Richard Taylor",0.0,4.53,18788,18911,49,100,100,4.27,1211,1211,5.4158
119,"",119,4479,The Lord of the Rings: The Art of The Fellowship of the Ring,Gary Russell,2002.0,4.59,24340,24412,67,100,99,3.87,1499,1499,5.4104
8,"",8,21457576,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","J.K. Rowling, Mary GrandPré",2003.0,4.77,33220,33424,156,100,100,3.83,1498,1498,5.4022
67,"",67,1062798,The Known World,Edward P. Jones,2003.0,3.82,26550,29459,2825,100,100,3.96,1352,1352,5.3923
10,"",10,21457570,"Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,2005.0,4.73,24618,26274,882,100,100,4.18,1110,1110,5.3674
5,"",5,2402163,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,4.53,1832823,1969375,36099,100,100,3.89,1293,1293,5.3627
295,"",295,3077988,Treasure Island,Robert Louis Stevenson,1882.0,3.82,268012,310515,7917,100,100,4.2,1040,1040,5.3486
359,"",359,809325,"The Salmon of Doubt (Dirk Gently, #3)",Douglas Adams,2002.0,3.92,20177,22414,775,100,100,4.14,1069,1069,5.3462
1,"",1,41335427,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",2005.0,4.54,1678823,1785676,27520,100,100,4.24,973,973,5.3333
28,"",28,940892,Notes from a Small Island,Bill Bryson,1995.0,3.91,66947,72421,3323,100,99,3.91,1148,1148,5.3251
106,"",106,3634570,Dune Messiah (Dune Chronicles #2),Frank Herbert,1969.0,3.86,82580,90432,2283,100,100,3.98,1051,1051,5.3083
33,"",33,3462456,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,1955.0,4.47,389054,436346,9365,100,100,3.89,1094,1094,5.3043
112,"",112,3634573,Children of Dune (Dune Chronicles #3),Frank Herbert,1976.0,3.9,74133,79736,1374,100,100,4.08,913,913,5.279
117,"",117,3634575,Heretics of Dune (Dune Chronicles #5),Frank Herbert,1984.0,3.83,40415,43369,612,100,100,4.15,815,815,5.2533
249,"",249,543143,Tropic of Cancer,Henry Miller,1934.0,3.71,45518,49701,2526,100,100,3.76,1007,1007,5.2493
291,"",291,1676536,The Broken Wings,"Kahlil Gibran, Anthony R. Ferris",1912.0,3.93,5611,12435,1425,100,100,4.18,659,659,5.1851
30,"",30,89369,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,1973.0,4.59,90907,94348,1565,100,98,3.82,801,801,5.1813
355,"",355,924656,Job: A Comedy of Justice,Robert A. Heinlein,1984.0,3.77,14592,14901,415,100,100,3.89,737,737,5.1662
360,"",569429,2842984,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,1992.0,3.96,72426,83424,1788,100,100,3.94,696,696,5.1562
870,"",870,1959820,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)","Hiromu Arakawa, Akira Watanabe",2002.0,4.49,93990,94768,1103,100,100,4.38,533,533,5.1509
231,"",231,1005335,I am Charlotte Simmons,Tom Wolfe,2004.0,3.4,19293,21580,1891,100,100,3.98,661,661,5.1461
122,"",122,649656,"The Power of One (The Power of One, #1)",Bryce Courtenay,1989.0,4.34,57312,60575,4581,100,100,3.46,866,866,5.1366
25,"",25,3419048,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,Bill Bryson,1998.0,3.89,44610,49430,2335,100,99,4.24,484,484,5.0893
348,"",348,2055615,The Door Into Summer,Robert A. Heinlein,1957.0,4.0,15298,18028,829,100,100,3.53,724,724,5.088
98,"",98,4462,What to Expect the First Year (What to Expect),"Heidi Murkoff, Sharon Mazel, Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway, Mark D. Widome",1989.0,3.86,10807,13247,784,100,100,4.11,495,495,5.0711
250,"",250,1190908,Tropic of Capricorn,Henry Miller,1938.0,3.85,12082,13487,529,100,98,4.29,438,438,5.0644
365,"",365,1042123,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,1987.0,3.97,89569,96230,2408,100,100,4.28,438,438,5.0624
597,"",597,2226163,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,2005.0,3.85,23015,23614,1108,100,100,3.69,608,608,5.0589
3103,"",3103,2394184,Maurice,E.M. Forster,1971.0,4.02,16301,18288,940,100,100,3.93,525,525,5.0557
264,"",264,1434368,The Portrait of a Lady,"Henry James, Patricia Crick",1881.0,3.76,55019,59317,2105,100,100,3.71,580,580,5.0465
668,"",668,1711534,We the Living,"Ayn Rand, Leonard Peikoff",1936.0,3.89,20994,22571,1178,100,100,3.75,563,563,5.0441
24,"",24,2611786,In a Sunburned Country,Bill Bryson,2000.0,4.05,58688,66668,4455,100,100,4.21,431,431,5.0428
320,"",320,3295655,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",1967.0,4.04,490565,575667,21671,100,100,3.93,504,504,5.0414
424,"",424,1844,Slouching Towards Bethlehem,Joan Didion,1968.0,4.24,17787,20348,1571,100,100,3.72,564,564,5.0387
275,"",275,1009849,The Lover,"Marguerite Duras, Barbara Bray, Maxine Hong Kingston",1984.0,3.76,18947,24857,1684,100,100,3.71,567,567,5.0385
27,"",27,3164459,Neither Here nor There: Travels in Europe,Bill Bryson,1991.0,3.88,42170,45390,2168,100,100,4.16,438,438,5.0384
432,"",432,2434710,"City of Glass (The New York Trilogy, #1)",Paul Auster,1985.0,3.81,10157,11176,683,100,100,4.14,435,435,5.032
1192,"",1192,5387,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,2005.0,3.97,32751,32871,209,100,100,4.1,445,445,5.0319
21,"",21,2305997,A Short History of Nearly Everything,Bill Bryson,2003.0,4.19,191535,206367,9065,100,100,4.16,427,427,5.0295
93,"",93,1738595,Heidi,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",1880.0,3.97,144497,154669,2667,100,100,4.11,439,439,5.0292
771,"",8049273,907243,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,1999.0,4.06,32626,69530,1563,100,100,3.78,524,524,5.025
